  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.4244   0.16517   0.16332  -0.0214   1.0000   0.0152
 -14.900  -0.4214   0.16399   0.16214  -0.0219   1.0000   0.0153
 -14.800  -0.4184   0.16279   0.16094  -0.0225   1.0000   0.0154
 -14.700  -0.4156   0.16155   0.15970  -0.0230   1.0000   0.0156
 -14.600  -0.4130   0.16026   0.15841  -0.0236   1.0000   0.0157
 -14.500  -0.4104   0.15894   0.15709  -0.0242   1.0000   0.0159
 -14.400  -0.4079   0.15754   0.15570  -0.0248   1.0000   0.0162
 -14.300  -0.4058   0.15599   0.15415  -0.0255   1.0000   0.0165
 -14.200  -0.4137   0.15085   0.14901  -0.0283   1.0000   0.0174
 -14.100  -0.4124   0.14910   0.14726  -0.0291   1.0000   0.0174
 -14.000  -0.4112   0.14733   0.14549  -0.0298   1.0000   0.0174
 -13.900  -0.4099   0.14559   0.14375  -0.0304   1.0000   0.0174
 -13.800  -0.4089   0.14379   0.14196  -0.0311   1.0000   0.0174
 -13.700  -0.2706   0.13565   0.13399  -0.0401   1.0000   0.0183
 -13.600  -0.2694   0.13487   0.13322  -0.0401   1.0000   0.0184
 -13.500  -0.2684   0.13404   0.13239  -0.0401   1.0000   0.0186
 -13.400  -0.2676   0.13317   0.13152  -0.0401   1.0000   0.0188
 -13.300  -0.2672   0.13222   0.13057  -0.0401   1.0000   0.0190
 -13.200  -0.2670   0.13125   0.12960  -0.0401   1.0000   0.0192
 -13.100  -0.2673   0.13019   0.12855  -0.0401   1.0000   0.0194
 -13.000  -0.2684   0.12893   0.12729  -0.0402   1.0000   0.0199
 -12.800  -0.5224   0.09843   0.09660  -0.0473   1.0000   0.0166
 -12.700  -0.5146   0.09845   0.09664  -0.0473   1.0000   0.0166
 -12.600  -0.5068   0.09848   0.09667  -0.0473   1.0000   0.0167
 -12.500  -0.4989   0.09855   0.09675  -0.0472   1.0000   0.0167
 -12.400  -0.4913   0.09856   0.09676  -0.0472   1.0000   0.0167
 -12.300  -0.4835   0.09863   0.09683  -0.0472   1.0000   0.0167
 -12.200  -0.4756   0.09874   0.09694  -0.0471   1.0000   0.0168
 -12.100  -0.4667   0.09908   0.09729  -0.0470   1.0000   0.0168
 -12.000  -0.4564   0.09977   0.09798  -0.0467   1.0000   0.0167
 -11.900  -0.4433   0.10113   0.09934  -0.0460   1.0000   0.0167
 -11.800  -0.8364   0.02186   0.01796  -0.0988   0.9879   0.0160
 -11.700  -0.8245   0.02148   0.01753  -0.0994   0.9873   0.0162
 -11.600  -0.8124   0.02111   0.01712  -0.1000   0.9868   0.0164
 -11.500  -0.8001   0.02076   0.01672  -0.1006   0.9863   0.0165
 -11.400  -0.7876   0.02041   0.01634  -0.1012   0.9858   0.0167
 -11.300  -0.7749   0.02008   0.01596  -0.1019   0.9854   0.0169
 -11.200  -0.7621   0.01976   0.01560  -0.1026   0.9850   0.0170
 -11.100  -0.7492   0.01947   0.01525  -0.1032   0.9846   0.0172
 -11.000  -0.7361   0.01918   0.01492  -0.1039   0.9843   0.0173
 -10.900  -0.7228   0.01890   0.01460  -0.1046   0.9840   0.0174
 -10.800  -0.7104   0.01840   0.01404  -0.1053   0.9837   0.0175
 -10.700  -0.7008   0.01762   0.01318  -0.1057   0.9826   0.0178
 -10.600  -0.6918   0.01721   0.01274  -0.1056   0.9807   0.0180
 -10.500  -0.6808   0.01689   0.01240  -0.1058   0.9794   0.0182
 -10.400  -0.6691   0.01662   0.01211  -0.1062   0.9783   0.0184
 -10.300  -0.6572   0.01637   0.01185  -0.1065   0.9773   0.0186
 -10.200  -0.6450   0.01614   0.01160  -0.1069   0.9764   0.0188
 -10.100  -0.6327   0.01592   0.01135  -0.1073   0.9755   0.0190
 -10.000  -0.6203   0.01569   0.01110  -0.1077   0.9746   0.0192
  -9.900  -0.6080   0.01546   0.01085  -0.1081   0.9737   0.0195
  -9.800  -0.5957   0.01524   0.01059  -0.1085   0.9728   0.0197
  -9.700  -0.5836   0.01503   0.01035  -0.1088   0.9719   0.0199
  -9.600  -0.5714   0.01481   0.01010  -0.1091   0.9710   0.0201
  -9.500  -0.5626   0.01464   0.00990  -0.1087   0.9684   0.0203
  -9.400  -0.5525   0.01447   0.00969  -0.1085   0.9663   0.0205
  -9.300  -0.5417   0.01430   0.00950  -0.1085   0.9644   0.0207
  -9.200  -0.5307   0.01415   0.00932  -0.1085   0.9626   0.0208
  -9.100  -0.5207   0.01378   0.00890  -0.1084   0.9608   0.0211
  -9.000  -0.5107   0.01340   0.00849  -0.1084   0.9591   0.0215
  -8.900  -0.4997   0.01317   0.00825  -0.1084   0.9574   0.0218
  -8.800  -0.4902   0.01301   0.00808  -0.1081   0.9547   0.0221
  -8.700  -0.4804   0.01286   0.00792  -0.1079   0.9517   0.0224
  -8.600  -0.4702   0.01274   0.00778  -0.1077   0.9489   0.0227
  -8.500  -0.4597   0.01260   0.00763  -0.1075   0.9464   0.0230
  -8.400  -0.4490   0.01246   0.00746  -0.1074   0.9441   0.0234
  -8.300  -0.4383   0.01233   0.00730  -0.1073   0.9418   0.0237
  -8.200  -0.4282   0.01219   0.00714  -0.1071   0.9388   0.0240
  -8.100  -0.4179   0.01207   0.00699  -0.1070   0.9360   0.0243
  -8.000  -0.4073   0.01195   0.00684  -0.1068   0.9334   0.0245
  -7.900  -0.3964   0.01185   0.00671  -0.1067   0.9311   0.0247
  -7.800  -0.3865   0.01153   0.00636  -0.1066   0.9289   0.0252
  -7.700  -0.3761   0.01131   0.00612  -0.1065   0.9267   0.0257
  -7.600  -0.3656   0.01116   0.00596  -0.1064   0.9241   0.0261
  -7.500  -0.3550   0.01104   0.00583  -0.1063   0.9214   0.0265
  -7.400  -0.3442   0.01092   0.00571  -0.1062   0.9188   0.0269
  -7.300  -0.3333   0.01082   0.00558  -0.1061   0.9163   0.0274
  -7.200  -0.3224   0.01071   0.00545  -0.1061   0.9140   0.0278
  -7.100  -0.3114   0.01062   0.00533  -0.1060   0.9118   0.0283
  -7.000  -0.3004   0.01054   0.00523  -0.1060   0.9093   0.0287
  -6.900  -0.2894   0.01047   0.00514  -0.1059   0.9066   0.0290
  -6.800  -0.2789   0.01026   0.00491  -0.1058   0.9037   0.0297
  -6.700  -0.2683   0.01009   0.00473  -0.1057   0.9009   0.0305
  -6.600  -0.2573   0.00998   0.00461  -0.1057   0.8983   0.0311
  -6.500  -0.2463   0.00990   0.00450  -0.1056   0.8958   0.0317
  -6.400  -0.2353   0.00981   0.00441  -0.1056   0.8929   0.0323
  -6.300  -0.2243   0.00972   0.00431  -0.1055   0.8898   0.0329
  -6.200  -0.2132   0.00965   0.00422  -0.1055   0.8866   0.0335
  -6.100  -0.2021   0.00958   0.00412  -0.1054   0.8835   0.0340
  -6.000  -0.1913   0.00945   0.00396  -0.1053   0.8806   0.0348
  -5.900  -0.1804   0.00930   0.00381  -0.1053   0.8776   0.0358
  -5.800  -0.1693   0.00921   0.00371  -0.1053   0.8744   0.0367
  -5.700  -0.1582   0.00913   0.00363  -0.1052   0.8711   0.0375
  -5.600  -0.1471   0.00907   0.00355  -0.1052   0.8679   0.0384
  -5.500  -0.1360   0.00902   0.00347  -0.1051   0.8649   0.0393
  -5.400  -0.1247   0.00898   0.00341  -0.1051   0.8619   0.0399
  -5.300  -0.1138   0.00883   0.00325  -0.1051   0.8585   0.0414
  -5.200  -0.1027   0.00873   0.00316  -0.1050   0.8549   0.0427
  -5.100  -0.0917   0.00867   0.00308  -0.1050   0.8514   0.0438
  -5.000  -0.0805   0.00862   0.00300  -0.1049   0.8480   0.0450
  -4.900  -0.0693   0.00857   0.00294  -0.1049   0.8445   0.0460
  -4.800  -0.0580   0.00852   0.00287  -0.1049   0.8407   0.0469
  -4.700  -0.0471   0.00840   0.00275  -0.1048   0.8367   0.0491
  -4.600  -0.0361   0.00833   0.00268  -0.1048   0.8330   0.0507
  -4.500  -0.0249   0.00829   0.00262  -0.1048   0.8295   0.0523
  -4.400  -0.0136   0.00824   0.00257  -0.1048   0.8257   0.0537
  -4.300  -0.0024   0.00819   0.00249  -0.1047   0.8217   0.0553
  -4.200   0.0086   0.00810   0.00241  -0.1047   0.8177   0.0578
  -4.100   0.0197   0.00805   0.00235  -0.1046   0.8140   0.0600
  -4.000   0.0310   0.00801   0.00230  -0.1046   0.8099   0.0619
  -3.900   0.0423   0.00798   0.00225  -0.1046   0.8055   0.0634
  -3.800   0.0532   0.00790   0.00217  -0.1045   0.8012   0.0670
  -3.700   0.0643   0.00785   0.00212  -0.1045   0.7971   0.0699
  -3.600   0.0756   0.00782   0.00208  -0.1045   0.7928   0.0724
  -3.500   0.0868   0.00778   0.00203  -0.1045   0.7883   0.0747
  -3.400   0.0978   0.00773   0.00197  -0.1044   0.7839   0.0788
  -3.300   0.1090   0.00768   0.00193  -0.1044   0.7798   0.0823
  -3.200   0.1203   0.00766   0.00189  -0.1044   0.7751   0.0850
  -3.100   0.1313   0.00761   0.00184  -0.1044   0.7703   0.0897
  -3.000   0.1423   0.00757   0.00180  -0.1043   0.7659   0.0943
  -2.900   0.1536   0.00754   0.00177  -0.1043   0.7611   0.0977
  -2.800   0.1648   0.00750   0.00173  -0.1043   0.7562   0.1030
  -2.700   0.1757   0.00747   0.00169  -0.1042   0.7514   0.1081
  -2.600   0.1870   0.00745   0.00167  -0.1042   0.7468   0.1121
  -2.500   0.1981   0.00740   0.00164  -0.1042   0.7417   0.1189
  -2.400   0.2092   0.00738   0.00161  -0.1042   0.7367   0.1246
  -2.300   0.2203   0.00736   0.00158  -0.1041   0.7320   0.1303
  -2.200   0.2315   0.00732   0.00156  -0.1041   0.7268   0.1371
  -2.000   0.2535   0.00728   0.00151  -0.1040   0.7166   0.1510
  -1.900   0.2648   0.00726   0.00149  -0.1040   0.7113   0.1575
  -1.800   0.2758   0.00723   0.00148  -0.1040   0.7059   0.1656
  -1.700   0.2868   0.00723   0.00146  -0.1039   0.7009   0.1732
  -1.600   0.2980   0.00720   0.00145  -0.1039   0.6957   0.1818
  -1.500   0.3091   0.00719   0.00143  -0.1039   0.6902   0.1901
  -1.400   0.3199   0.00717   0.00142  -0.1038   0.6849   0.1996
  -1.200   0.3422   0.00713   0.00141  -0.1038   0.6741   0.2189
  -1.100   0.3531   0.00713   0.00140  -0.1037   0.6687   0.2284
  -1.000   0.3643   0.00711   0.00140  -0.1037   0.6636   0.2390
  -0.900   0.3753   0.00709   0.00139  -0.1037   0.6580   0.2504
  -0.800   0.3862   0.00709   0.00139  -0.1036   0.6526   0.2615
  -0.700   0.3974   0.00707   0.00139  -0.1037   0.6475   0.2738
  -0.600   0.4084   0.00705   0.00139  -0.1036   0.6418   0.2872
  -0.500   0.4192   0.00705   0.00140  -0.1036   0.6364   0.3005
  -0.400   0.4304   0.00702   0.00140  -0.1036   0.6313   0.3154
  -0.300   0.4414   0.00700   0.00140  -0.1035   0.6259   0.3308
  -0.200   0.4521   0.00699   0.00141  -0.1035   0.6206   0.3485
  -0.100   0.4632   0.00694   0.00141  -0.1035   0.6156   0.3690
  -0.000   0.4741   0.00690   0.00142  -0.1035   0.6103   0.3934
   0.100   0.4847   0.00683   0.00143  -0.1034   0.6051   0.4322
   0.200   0.4953   0.00671   0.00145  -0.1034   0.6004   0.4859
   0.300   0.5059   0.00659   0.00148  -0.1033   0.5953   0.5422
   0.400   0.5163   0.00650   0.00151  -0.1032   0.5904   0.5930
   0.500   0.5266   0.00642   0.00153  -0.1031   0.5857   0.6405
   0.600   0.5371   0.00632   0.00156  -0.1029   0.5810   0.6878
   0.700   0.5470   0.00623   0.00159  -0.1027   0.5762   0.7366
   0.800   0.5565   0.00615   0.00163  -0.1023   0.5716   0.7851
   0.900   0.5656   0.00604   0.00167  -0.1017   0.5675   0.8361
